;;T(entropy,4,0.01,0.3);
2;IndianPines,(3,false,"o_RCC8","TestOpAll");(70.91, 80.0, 97.27, 72.73, 73.33, 00:17:57);
3;IndianPines,(3,false,"o_RCC8","TestOpAll");(72.73, 55.0, 98.64, 78.57, 75.0, 00:16:12);
4;IndianPines,(3,false,"o_RCC8","TestOpAll");(72.27, 75.0, 98.18, 78.95, 74.58, 01:36:09);
5;IndianPines,(3,false,"o_RCC8","TestOpAll");(71.82, 75.0, 100.0, 100.0, 74.17, 00:16:16);
6;IndianPines,(3,false,"o_RCC8","TestOpAll");(68.64, 70.0, 98.18, 77.78, 71.25, 00:21:18);
7;IndianPines,(3,false,"o_RCC8","TestOpAll");(70.91, 70.0, 99.09, 87.5, 73.33, 00:15:01);
8;IndianPines,(3,false,"o_RCC8","TestOpAll");(66.36, 75.0, 96.82, 68.18, 69.17, 00:27:46);
9;IndianPines,(3,false,"o_RCC8","TestOpAll");(77.27, 85.0, 98.18, 80.95, 79.17, 00:15:30);
10;IndianPines,(3,false,"o_RCC8","TestOpAll");(76.36, 100.0, 99.09, 90.91, 78.33, 00:15:08);
1;IndianPines,(3,false,"o_RCC5","TestOpAll");(73.18, 65.0, 98.18, 76.47, 75.42, 00:28:15);
2;IndianPines,(3,false,"o_RCC5","TestOpAll");(74.09, 75.0, 96.36, 65.22, 76.25, 00:22:26);
3;IndianPines,(3,false,"o_RCC5","TestOpAll");(68.64, 70.0, 98.18, 77.78, 71.25, 01:31:54);
4;IndianPines,(3,false,"o_RCC5","TestOpAll");(67.27, 55.0, 99.09, 84.62, 70.0, 00:29:14);
5;IndianPines,(3,false,"o_RCC5","TestOpAll");(71.82, 85.0, 98.18, 80.95, 74.17, 01:32:36);
6;IndianPines,(3,false,"o_RCC5","TestOpAll");(72.73, 90.0, 98.64, 85.71, 75.0, 00:24:43);
7;IndianPines,(3,false,"o_RCC5","TestOpAll");(71.36, 65.0, 98.64, 81.25, 73.75, 00:23:28);
8;IndianPines,(3,false,"o_RCC5","TestOpAll");(67.73, 75.0, 96.82, 68.18, 70.42, 00:21:10);
